P1;P7;P9;P10;P15;P17;P18;P18A;P19;P19A;P20;P21;P22;P24;P25;P26;P27;P28;P29;P32;P42;P43;P44;P46;P47;P52;P53;P55;P59;P60;P64
0;0;0;2;1;1;34;0;1;0;3;7;1;2;3;6;33;10;5;31;43;62;56;30;57;6;29;0;99;994;99
3;1;1;0;0;0;44;0;14;0;5;9;5;0;8;6;13;6;6;43;39;40;27;13;41;0;0;0;99;13;99
0;0;0;9;2;1;46;0;3;0;7;9;3;0;4;6;21;10;1;46;52;82;74;7;21;0;0;0;99;19;99
1;1;2;0;0;0;39;0;36;0;1;7;1;2;5;1;19;1;1;44;36;60;52;0;0;2;18;28;3;10;99
0;0;0;15;1;1;48;0;2;0;1;3;5;0;5;1;29;7;8;40;55;85;78;7;32;0;0;0;99;12;99
6;1;1;0;0;0;46;0;36;0;1;3;5;0;5;1;14;1;1;35;49;60;46;6;11;0;0;0;99;7;99
0;0;0;3;1;1;43;0;0;0;1;6;3;0;0;0;2;0;0;29;42;72;59;3;10;0;0;0;99;994;99
1;1;1;0;0;0;39;0;0;7;1;5;5;0;6;3;2;3;1;38;39;64;58;13;5;2;9;0;3;10;99
0;0;0;5;3;0;48;53;0;0;1;6;2;0;0;0;16;0;0;38;47;86;59;16;33;0;0;0;99;19;99
2;1;1;0;0;0;48;0;10;0;5;11;5;0;9;1;22;11;6;44;48;47;41;0;0;0;0;0;99;10;99
1;1;1;0;0;0;39;0;0;0;3;4;1;1;0;0;6;0;0;40;35;60;45;0;0;4;800;0;3;19;99
2;1;1;0;0;0;35;0;6;0;1;3;1;2;3;1;29;1;1;38;38;65;54;0;0;2;18;12;99;994;99
0;0;0;2;1;1;33;0;8;0;5;3;5;0;1;1;18;992;992;24;48;69;58;0;0;0;0;0;99;1;99
5;1;1;0;0;0;44;0;16;0;4;5;1;9;5;1;29;5;5;34;49;83;62;13;5;0;0;0;99;994;99
0;0;0;2;1;1;42;0;5;0;1;9;3;0;1;1;11;1;1;35;38;61;52;0;0;0;0;0;99;1;99
